player_id,name,position,goals,assists,points,shots,timeOnIcePerGame
8474688,Greg Pateryn,D,0,7,7,61,15.09
8476207,Brian Gibbons,LW,3,4,7,42,9.9
8477244,Chad Ruhwedel,D,2,5,7,59,14.44
8474145,Robert Bortuzzo,D,1,6,7,52,13.01
8475868,Anthony Bitetto,D,0,7,7,57,14.32
8469465,Dan Hamhuis,D,0,7,7,41,14.22
8475268,Gabriel Bourque,LW,2,5,7,41,8.86
8471392,Roman Polak,D,0,6,6,50,16.25
8473560,Korbinian Holzer,D,1,5,6,46,15.43
8474090,Brendan Smith,D,1,5,6,44,11.41
8475625,Matt Irwin,D,0,6,6,77,13.71
8474134,Yannick Weber,D,1,4,5,60,13.4
8474568,Luke Schenn,D,1,4,5,62,12.35
8474230,Micheal Haley,C,2,2,4,33,6.23
